Date,Pair,Buy_Sell,Price,Volume,Spent_Gain
14-09-2021,ADAUSDT,BUY,2.366,4.3,10.1738
14-09-2021,EOSUSDT,BUY,4.777,2.2,10.5094
14-09-2021,FTMUSDT,BUY,1.2197,9,10.9773
14-09-2021,AVAXUSDT,BUY,51.97,0.2,10.394
14-09-2021,SOLUSDT,BUY,156.38,0.11,17.2018
14-09-2021,SHIBUSDT,BUY,0.00000654,1529052,10.00000008
14-09-2021,VETUSDT,BUY,0.11539,86.7,10.004313
14-09-2021,ADAUSDT,BUY,2.399,4.2,10.0758
13-09-2021,XECUSDT,BUY,0.00023,100000,23
13-09-2021,XECUSDT,SELL,0.00022839,43836,10.01170404
13-09-2021,XECUSDT,SELL,0.00023384,47076,11.00825184
13-09-2021,ADAUSDT,BUY,2.415,4.2,10.143
13-09-2021,XECUSDT,BUY,0.00022598,44272,10.00458656
13-09-2021,ETHUSDT,BUY,"3,188.72",0.0032,10.203904
13-09-2021,AVAXUSDT,BUY,49.5,0.21,10.395
13-09-2021,ALGOUSDT,BUY,2.0855,5,10.4275
13-09-2021,AVAXUSDT,BUY,51.14,0.2,10.228
13-09-2021,SOLUSDT,BUY,157.16,0.07,11.0012
13-09-2021,VETUSDT,BUY,0.11564,86.5,10.00286
13-09-2021,AVAXUSDT,BUY,54.35,0.19,10.3265
13-09-2021,SOLUSDT,BUY,159.64,0.07,11.1748
13-09-2021,SOLUSDT,BUY,170,0.18,30.6
12-09-2021,ADAUSDT,BUY,2.734,18.8,51.3992
12-09-2021,ADAUSDT,BUY,2.66,18.9,50.274
12-09-2021,ADAUSDT,BUY,2.669,53.7,143.3253
08-09-2021,TLMUSDT,BUY,0.218,46,10.028
08-09-2021,SXPUSDT,BUY,2.65,3.8,10.07
08-09-2021,MATICUSDT,BUY,1.222,8.3,10.1426
08-09-2021,DOTUSDT,BUY,26.43,0.39,10.3077
08-09-2021,ICPUSDT,BUY,57.17,0.18,10.2906
08-09-2021,AVAXUSDT,BUY,36.19,0.29,10.4951
07-09-2021,XECUSDT,BUY,0.00024267,49046,11.90199282
07-09-2021,XECUSDT,BUY,0.00025455,39458,10.0440339
07-09-2021,ADAUSDT,BUY,2.469,6.1,15.0609
07-09-2021,FETUSDT,BUY,0.9418,14,13.1852
07-09-2021,AVAXUSDT,BUY,35.37,0.46,16.2702
07-09-2021,FTMUSDT,BUY,1.4987,7,10.4909
07-09-2021,EOSUSDT,BUY,4.702,3,14.106
07-09-2021,XECUSDT,BUY,0.00030702,33553,10.30144206
29-08-2021,BNBUSDT,BUY,481,0.022,10.582
26-08-2021,ADAUSDT,BUY,2.471,4.1,10.1311
26-08-2021,XLMUSDT,BUY,0.3328,31,10.3168
26-08-2021,DOGEUSDT,BUY,0.2718,37,10.0566
26-08-2021,TLMUSDT,BUY,0.324,31,10.044
26-08-2021,ADAUSDT,BUY,2.582,3.9,10.0698
26-08-2021,XRPUSDT,BUY,1.11,9.01,10.0011
26-08-2021,SOLUSDT,BUY,67.5,0.149,10.0575
25-08-2021,SOLUSDT,BUY,70.874,0.142,10.064108
25-08-2021,ETHUSDT,BUY,"3,094.82",0.00324,10.0272168
23-08-2021,MBOXUSDT,SELL,4.721,2.2,10.3862
22-08-2021,MBOXUSDT,BUY,4.141,2.5,10.3525
20-08-2021,SOLUSDT,BUY,71,0.141,10.011
19-08-2021,SOLUSDT,BUY,71.644,0.209,14.973596
17-08-2021,BNBUSDT,BUY,418.34,0.0287,12.006358
17-08-2021,LTCUSDT,BUY,178.89,0.05586,9.9927954
17-08-2021,ADAUSDT,BUY,2.0698,4.84,10.017832
17-08-2021,SOLUSDT,BUY,71,0.212,15.052
16-08-2021,VETUSDT,BUY,0.13472,110.9,14.940448
15-08-2021,ETHUSDT,BUY,"3,167.15",0.00322,10.198223
13-08-2021,ADAUSDT,BUY,1.95,12.82,24.999
