Date,Pair,Type,Price,Amount,Total,Fee,Fee Coin
11-04-2022,ETHUPUSDT,BUY,33.699,0.45,15.16455,2.85E-05,BNB
11-04-2022,XRPUPUSDT,BUY,0.9799,15,14.6985,2.77E-05,BNB
11-04-2022,ANCUSDT,BUY,2.25,10,22.5,4.23E-05,BNB
11-04-2022,LINKUPUSDT,BUY,0.11734,100,11.734,2.21E-05,BNB
11-04-2022,DOTUPUSDT,BUY,1.3,10,13,2.45E-05,BNB
11-04-2022,BTCUPUSDT,BUY,36.072,0.5,18.036,3.40E-05,BNB
11-04-2022,ADAUPUSDT,BUY,8.614,1.5,12.921,2.44E-05,BNB
11-04-2022,ADAUPUSDT,BUY,8.598,0.33,2.83734,5.36E-06,BNB
11-04-2022,GMTUSDT,SELL,2.54161,55.7,141.567677,0.00026703,BNB
09-04-2022,GLMRUSDT,BUY,3.7461,5.9,22.10199,3.92E-05,BNB
09-04-2022,DUSKUSDT,BUY,0.3625,50,18.125,3.21E-05,BNB
09-04-2022,ZILUSDT,BUY,0.11637,250,29.0925,5.15E-05,BNB
09-04-2022,AXSUSDT,BUY,51.38,0.5,25.69,4.55E-05,BNB
09-04-2022,XRPUPUSDT,BUY,1.1977,15,17.9655,3.19E-05,BNB
08-04-2022,BTCUSDT,BUY,43345.02,0.00105,45.512271,7.96E-05,BNB
08-04-2022,XRPUPUSDT,BUY,1.2488,25,31.22,5.46E-05,BNB
07-04-2022,API3USDT,BUY,5.092,3.5,17.822,3.08E-05,BNB
07-04-2022,ENJUSDT,BUY,1.506,7.1,10.6926,1.90E-05,BNB
07-04-2022,ENJUSDT,BUY,1.506,10,15.06,2.68E-05,BNB
07-04-2022,ENJUSDT,BUY,1.506,7.9,11.8974,2.12E-05,BNB
07-04-2022,BTCUPUSDT,BUY,43.6,0.64,27.904,4.97E-05,BNB
07-04-2022,ADAUPUSDT,BUY,11.308,1.58,17.86664,3.19E-05,BNB
07-04-2022,LINKUPUSDT,BUY,0.15141,125,18.92625,3.38E-05,BNB
07-04-2022,BATUSDT,BUY,0.7577,25,18.9425,3.38E-05,BNB
07-04-2022,ETHUPUSDT,BUY,39.364,0.55,21.6502,3.86E-05,BNB
07-04-2022,SANDUSDT,BUY,2.9393,5,14.6965,2.63E-05,BNB
07-04-2022,ADAUPUSDT,BUY,11.292,2.75,31.053,5.55E-05,BNB
07-04-2022,ADAUPUSDT,BUY,11.207,0.99,11.09493,1.97E-05,BNB
06-04-2022,DODOUSDT,BUY,0.428,36.9,15.7932,2.81E-05,BNB
06-04-2022,DODOUSDT,BUY,0.428,63.1,27.0068,4.80E-05,BNB
06-04-2022,BSWUSDT,BUY,1.1997,11.6,13.91652,2.38E-05,BNB
06-04-2022,BSWUSDT,BUY,1.1997,9,10.7973,1.84E-05,BNB
06-04-2022,MATICUSDT,BUY,1.533,17,26.061,4.49E-05,BNB
05-04-2022,LUNAUSDT,BUY,115.99,0.1,11.599,1.91E-05,BNB
04-04-2022,BSWUSDT,BUY,1.1724,19.2,22.51008,3.81E-05,BNB
03-04-2022,SOLUSDT,BUY,135.4,1,135.4,0.0002271,BNB
02-04-2022,BTCUSDT,BUY,46717.49,0.00043,20.0885207,3.35E-05,BNB
02-04-2022,GMTUSDT,BUY,2.73777,31,84.87087,0.00014157,BNB
02-04-2022,GMTUSDT,BUY,2.68149,112,300.32688,0.00050284,BNB
29-03-2022,AXSUSDT,BUY,65.48,0.22,14.4056,2.48E-05,BNB
29-03-2022,MATICUSDT,BUY,1.685,15,25.275,4.35E-05,BNB
29-03-2022,CLVUSDT,BUY,0.413,25,10.325,1.77E-05,BNB
29-03-2022,API3USDT,BUY,5.66,3.5,19.81,3.42E-05,BNB
29-03-2022,MATICUSDT,BUY,1.676,10,16.76,2.89E-05,BNB
26-03-2022,ADAUPUSDT,BUY,13.379,0.79,10.56941,1.92E-05,BNB
26-03-2022,ADAUPUSDT,BUY,13.52,0.75,10.14,1.84E-05,BNB
24-03-2022,IOTXUSDT,BUY,0.0919,217,19.9423,3.66E-05,BNB
24-03-2022,JASMYUSDT,BUY,0.0409,366.7,14.99803,2.77E-05,BNB
22-03-2022,GLMRUSDT,BUY,2.899,5,14.495,2.64E-05,BNB
19-03-2022,ATOMUSDT,BUY,28.82,0.35,10.087,1.88E-05,BNB
19-03-2022,APEUSDT,SELL,13.0733,1,13.0733,2.46E-05,BNB
19-03-2022,APEUSDT,BUY,13.2572,1,13.2572,2.50E-05,BNB
16-03-2022,GMTUSDT,BUY,0.51375,8.4,4.3155,8.59E-06,BNB
16-03-2022,GMTUSDT,BUY,0.51374,11.1,5.702514,1.14E-05,BNB
10-03-2022,AAVEUSDT,BUY,120,0.125,15,3.07E-05,BNB
10-03-2022,BTCUPUSDT,BUY,35.634,0.36,12.82824,2.61E-05,BNB
10-03-2022,MATICUSDT,BUY,1.419,7.1,10.0749,2.05E-05,BNB
10-03-2022,MCUSDT,BUY,1.95,5.13,10.0035,2.03E-05,BNB
09-03-2022,MATICUSDT,BUY,1.491,10.1,15.0591,2.87E-05,BNB
07-03-2022,MCUSDT,BUY,1.99,5.03,10.0097,1.97E-05,BNB
07-03-2022,FTMUSDT,BUY,1.3937,8,11.1496,2.24E-05,BNB
06-03-2022,ADAUPUSDT,BUY,7.021,2.14,15.02494,2.98E-05,BNB
06-03-2022,CAKEUSDT,BUY,6.16,1.8,11.088,2.19E-05,BNB
05-03-2022,AXSUSDT,BUY,50.99,0.29,14.7871,2.92E-05,BNB
05-03-2022,AXSUSDT,BUY,51.02,0.35,17.857,3.53E-05,BNB
04-03-2022,MCUSDT,BUY,2.1,4.77,10.017,2.01E-05,BNB
04-03-2022,ADAUPUSDT,BUY,7.053,1.75,12.34275,2.48E-05,BNB
04-03-2022,BNBUPUSDT,BUY,152.55,0.1,15.255,3.07E-05,BNB
04-03-2022,ETHUPUSDT,BUY,23.7,0.5,11.85,2.38E-05,BNB
04-03-2022,ADAUPUSDT,BUY,7.141,1.5,10.7115,2.15E-05,BNB
